code_insee;name;department;zip_code;gps
10227;Marolles-sous-Lignières;10;10130;48.0520003827, 3.93246550297
10166;Les Grandes-Chapelles;10;10170;48.4916267047, 3.93350100384
10232;Merrey-sur-Arce;10;10110;48.1160220302, 4.43093259336
10182;Juvancourt;10;10310;48.1567685845, 4.79470021531
10190;Laubressel;10;10270;48.2596266125, 4.24959642717
10173;Isle-Aumont;10;10800;48.2055801821, 4.1125140322
10196;Lignières;10;10130;48.0520003827, 3.93246550297
10230;Mergey;10;10600;48.3767482025, 3.98875459714
10212;Machy;10;10320;48.1632184055, 4.02059815423
11111;Cruscades;11;11200;43.1662010238, 2.78892059953
11112;Cubières-sur-Cinoble;11;11190;42.9166610889, 2.34707884311
11113;Cucugnan;11;11350;42.8796650781, 2.66522654176
11121;Donazac;11;11240;43.1188469018, 2.06671991119
11133;Fajac-en-Val;11;11220;43.0809470716, 2.59145854442
11142;Festes-et-Saint-André;11;11300;43.0486403902, 2.18021479284
11147;Fontanès-de-Sault;11;11140;42.7657925357, 2.16672255446
11148;Fontcouverte;11;11700;43.2164263433, 2.63518086038
11152;Fontjoncouse;11;11360;42.9848553966, 2.7967793394
11160;Galinagues;11;11140;42.7657925357, 2.16672255446
11162;Generville;11;11270;43.1822151687, 1.96656505821
11164;Ginestas;11;11120;43.2793720392, 2.88392060651
11169;Greffeil;11;11250;43.0946347739, 2.34321262347
11170;Gruissan;11;11430;43.1033671547, 3.08203415117
11172;Homps;11;11200;43.1662010238, 2.78892059953
11175;Issel;11;11400;43.3333084343, 1.97819883163
11177;Joucou;11;11140;42.7657925357, 2.16672255446
11180;Labastide-Esparbairenque;11;11380;43.3945963595, 2.38722889335
11182;Lacombe;11;11310;43.3722409402, 2.17410983728
11185;Lagrasse;11;11220;43.0809470716, 2.59145854442
11189;Laprade;11;11390;43.3925599417, 2.2792029886
11190;La Redorte;11;11700;43.2164263433, 2.63518086038
11192;Lasbordes;11;11400;43.3333084343, 1.97819883163
11196;Laurac;11;11270;43.1822151687, 1.96656505821
11202;Leucate;11;11370;42.8990754596, 3.02622378383
11212;Mailhac;11;11120;43.2793720392, 2.88392060651
11226;Mayreville;11;11420;43.2067830751, 1.79388571157
11230;Mérial;11;11140;42.7657925357, 2.16672255446
11241;Montbrun-des-Corbières;11;11700;43.2164263433, 2.63518086038
11242;Montclar;11;11250;43.0946347739, 2.34321262347
11246;Montgradail;11;11240;43.1188469018, 2.06671991119
11247;Monthaut;11;11240;43.1188469018, 2.06671991119
11251;Montlaur;11;11220;43.0809470716, 2.59145854442
11255;Montredon-des-Corbières;11;11100;43.1614428329, 3.00768633064
11260;Mouthoumet;11;11330;42.9592043622, 2.54502712372
11264;Névian;11;11200;43.1662010238, 2.78892059953
11270;Padern;11;11350;42.8796650781, 2.66522654176
11279;Pennautier;11;11610;43.2600787186, 2.30202617457
11283;Peyrefitte-sur-l'Hers;11;11420;43.2067830751, 1.79388571157
11285;Peyriac-de-Mer;11;11440;43.0899544333, 2.94880546616
11288;Pezens;11;11170;43.2815047945, 2.19442534937
11293;Pomas;11;11250;43.0946347739, 2.34321262347
11297;Pradelles-Cabardès;11;11380;43.3945963595, 2.38722889335
11298;Pradelles-en-Val;11;11220;43.0809470716, 2.59145854442
11299;Preixan;11;11250;43.0946347739, 2.34321262347
11302;Puilaurens;11;11140;42.7657925357, 2.16672255446
11304;Quillan;11;11500;42.8642681542, 2.2143101342
11314;Rieux-en-Val;11;11220;43.0809470716, 2.59145854442
11318;Roquecourbe-Minervois;11;11700;43.2164263433, 2.63518086038
11320;Roquefeuil;11;11340;42.8370630944, 1.98179772961
11321;Roquefort-de-Sault;11;11140;42.7657925357, 2.16672255446
11335;Sainte-Colombe-sur-Guette;11;11140;42.7657925357, 2.16672255446
11338;Saint-Couat-du-Razès;11;11300;43.0486403902, 2.18021479284
11351;Saint-Laurent-de-la-Cabrerisse;11;11220;43.0809470716, 2.59145854442
11361;Saint-Papoul;11;11400;43.3333084343, 1.97819883163
11367;Saissac;11;11310;43.3722409402, 2.17410983728
11385;Soupex;11;11320;43.3837467528, 1.85528043392
11397;Trèbes;11;11800;43.2182954878, 2.49172141797
11400;Tréziers;11;11230;42.9737220665, 2.02689573941
11412;Villardebelle;11;11580;43.0019735527, 2.32970366921
11417;Villarzel-du-Razès;11;11300;43.0486403902, 2.18021479284
11429;Villemoustaussou;11;11620;43.2496570838, 2.3662986021
11431;Villeneuve-les-Corbières;11;11360;42.9848553966, 2.7967793394
11432;Villeneuve-lès-Montréal;11;11290;43.1943746552, 2.18782678941
11434;Villepinte;11;11150;43.2498711617, 2.06462165287
12002;Aguessac;12;12520;44.1968259654, 3.06387030498
12018;Balaguier-d'Olt;12;12260;44.458873555, 1.98297177766
12023;La Bastide-Solages;12;12550;43.9452392779, 2.61731670514
12025;Belmont-sur-Rance;12;12370;43.8037612905, 2.74262599071
12029;Bor-et-Bar;12;12270;44.2133464767, 2.02193088766
12036;Brommat;12;12600;44.8341310228, 2.67664580865
12037;Broquiès;12;12480;43.9974313835, 2.69341373502
12043;Calmont;12;12450;44.2840952345, 2.5725628832
12053;La Capelle-Balaguier;12;12260;44.458873555, 1.98297177766
12067;Le Clapier;12;12540;43.8787455208, 3.14987374669
12073;Comps-la-Grand-Ville;12;12120;44.1738899788, 2.54748951823
12076;Conques-en-Rouergue;12;12320;44.5837975359, 2.46440638377
12084;Creissels;12;12100;44.0898281066, 3.10621950967
12094;Entraygues-sur-Truyère;12;12140;44.6558037135, 2.58164635516
12099;Fayet;12;12360;43.7904240706, 2.95795996186
12100;Firmi;12;12300;44.5947922935, 2.27515362111
12108;Galgan;12;12220;44.4874742078, 2.20156153334
12109;Gissac;12;12360;43.7904240706, 2.95795996186
12110;Golinhac;12;12140;44.6558037135, 2.58164635516
12127;Lédergues;12;12170;44.0745006665, 2.51889903328
12129;Lestrade-et-Thouels;12;12430;44.0864778708, 2.70135704539
12144;Meljac;12;12120;44.1738899788, 2.54748951823
12145;Millau;12;12100;44.0898281066, 3.10621950967
12147;Montagnol;12;12360;43.7904240706, 2.95795996186
11053;Brugairolles;11;11300;43.0486403902, 2.18021479284
11056;Cabrespine;11;11160;43.3459989767, 2.52081672381
11073;Cassaignes;11;11190;42.9166610889, 2.34707884311
11046;Bourigeole;11;11300;43.0486403902, 2.18021479284
11059;Cailhavel;11;11240;43.1188469018, 2.06671991119
11048;Boutenac;11;11200;43.1662010238, 2.78892059953
11044;Bouisse;11;11330;42.9592043622, 2.54502712372
11070;Carlipa;11;11170;43.2815047945, 2.19442534937
11060;Cailla;11;11140;42.7657925357, 2.16672255446
01001;L'Abergement-Clémenciat;01;01400;46.1331001556, 4.99858455549
01021;Ars-sur-Formans;01;01480;46.0178170669, 4.81482624573
01006;Ambléon;01;01300;45.7328309975, 5.65715901636
02111;Brancourt-en-Laonnois;02;02320;49.5132435119, 3.44966195866
02133;Bucy-lès-Pierrepont;02;02350;49.6393180069, 3.83480530276
02169;Châtillon-lès-Sons;02;02270;49.714634271, 3.5968851996
02127;Bruyères-sur-Fère;02;02130;49.1935797302, 3.55982855371
02141;La Capelle;02;02260;49.966610567, 3.91127792949
02175;Chavigny;02;02880;49.4238582409, 3.38402828695
02152;Cerseuil;02;02220;49.3180108636, 3.5439628093
02121;Breny;02;02210;49.2129002416, 3.35011614589
02129;Bruys;02;02220;49.3180108636, 3.5439628093
01187;Haut Valromey;01;01260;45.9506630232, 5.68746147482
01165;Francheleins;01;01090;46.0869886552, 4.79611073763
01146;Dompierre-sur-Chalaronne;01;01400;46.1331001556, 4.99858455549
01145;Dompierre-sur-Veyle;01;01240;46.0916655381, 5.14797548998
01169;Genouilleux;01;01090;46.0869886552, 4.79611073763
01151;Druillat;01;01160;46.0747014809, 5.31394582841
01175;Gorrevod;01;01190;46.4316836316, 4.96424452785
01157;Fareins;01;01480;46.0178170669, 4.81482624573
01162;Flaxieu;01;01350;45.8543854094, 5.76557245306
01173;Gex;01;01170;46.3286268081, 6.03059799732
01410;Sonthonnax-la-Montagne;01;01580;46.2402104429, 5.54908625912
01403;Serrières-de-Briord;01;01470;45.805864462, 5.47727707691
01384;Saint-Rambert-en-Bugey;01;01230;45.9329292993, 5.4692328328
01383;Saint-Paul-de-Varax;01;01240;46.0916655381, 5.14797548998
01417;Thézillieu;01;01110;45.9724218119, 5.577110369
01406;Servignat;01;01560;46.44295833, 5.12304891736
01420;Thoissey;01;01140;46.1670266686, 4.8459954399
01411;Souclin;01;01150;45.8772713832, 5.32595701713
01401;Sergy;01;01630;46.2145490709, 5.95816552297
01079;Champagne-en-Valromey;01;01260;45.9506630232, 5.68746147482
01088;Charnoz-sur-Ain;01;01800;45.8984701804, 5.16340257624
01081;Champfromier;01;01410;46.2796643227, 5.91198359476
01098;Chazey-Bons;01;01300;45.7328309975, 5.65715901636
01115;Confrançon;01;01310;46.2412963633, 5.11553315012
01109;Collonges;01;01550;46.1521009626, 5.90976446888
01144;Dommartin;01;01380;46.3161847468, 4.97400450524
01075;Chaleins;01;01480;46.0178170669, 4.81482624573
01110;Colomieu;01;01300;45.7328309975, 5.65715901636
01134;Crottet;01;01750;46.2973437135, 4.87546330177
01134;Crottet;01;01290;46.2466681, 4.88543738301
01338;Groslée-Saint-Benoit;01;01680;45.752622921, 5.55446422211
01338;Groslée-Saint-Benoit;01;01300;45.7328309975, 5.65715901636
01286;Parves et Nattages;01;01300;45.7328309975, 5.65715901636
01332;Saint-André-de-Bâgé;01;01380;46.3161847468, 4.97400450524
01337;Saint-Bénigne;01;01190;46.4316836316, 4.96424452785
01323;Reyssouze;01;01190;46.4316836316, 4.96424452785
01319;Relevant;01;01990;46.0766987934, 4.89959868147
01331;Saint-Alban;01;01450;46.1107742949, 5.45519733117
01303;Poncin;01;01450;46.1107742949, 5.45519733117
01308;Pougny;01;01550;46.1521009626, 5.90976446888
01288;Péron;01;01630;46.2145490709, 5.95816552297
01240;Matafelon-Granges;01;01580;46.2402104429, 5.54908625912
01229;Malafretaz;01;01340;46.3400485451, 5.13297724307
01197;Journans;01;01250;46.2066710432, 5.38605889851
01196;Jayat;01;01340;46.3400485451, 5.13297724307
01225;Lurcy;01;01090;46.0869886552, 4.79611073763
01216;Lhuis;01;01680;45.752622921, 5.55446422211
01211;Lent;01;01240;46.0916655381, 5.14797548998
01209;Léaz;01;01200;46.1338706653, 5.81259483702
01245;Bohas-Meyriat-Rignat;01;01250;46.2066710432, 5.38605889851
01243;Messimy-sur-Saône;01;01480;46.0178170669, 4.81482624573
01252;Mogneneins;01;01140;46.1670266686, 4.8459954399
01280;Ordonnaz;01;01510;45.8480243468, 5.61949053703
01249;Miribel;01;01700;45.8388521429, 4.95806179291
01248;Mionnay;01;01390;45.9283135136, 4.92727608131
01247;Mijoux;01;01170;46.3286268081, 6.03059799732
01247;Mijoux;01;01410;46.2796643227, 5.91198359476
01284;Ozan;01;01190;46.4316836316, 4.96424452785
02018;Anizy-le-Château;02;02320;49.5132435119, 3.44966195866
02028;Athies-sous-Laon;02;02840;49.568752947, 3.72970362193
02015;Ancienville;02;02600;49.2730511855, 3.12339772854
02016;Andelain;02;02800;49.6765246538, 3.39232111371
01054;Bourg-Saint-Christophe;01;01800;45.8984701804, 5.16340257624
01032;Béligneux;01;01360;45.8283269463, 5.15327415034
01056;Boyeux-Saint-Jérôme;01;01640;46.0337779297, 5.42151732468
01052;Bouligneux;01;01330;45.9976909227, 5.02164504767
01072;Ceyzériat;01;01250;46.2066710432, 5.38605889851
01024;Attignat;01;01340;46.3400485451, 5.13297724307
01029;Beaupont;01;01270;46.3890219242, 5.30343220636
01051;Bolozon;01;01450;46.1107742949, 5.45519733117
01045;Birieux;01;01330;45.9976909227, 5.02164504767
01059;Brénaz;01;01260;45.9506630232, 5.68746147482
01358;Saint-Germain-les-Paroisses;01;01300;45.7328309975, 5.65715901636
01367;Saint-Julien-sur-Reyssouze;01;01560;46.44295833, 5.12304891736
01362;Saint-Jean-de-Thurigneux;01;01390;45.9283135136, 4.92727608131
01376;Saint-Maurice-de-Beynost;01;01700;45.8388521429, 4.95806179291
01368;Saint-Julien-sur-Veyle;01;01540;46.2212986861, 4.98198011208
77020;Bannost-Villegagnon;77;77970;48.6629667533, 3.14093688522
77021;Barbey;77;77130;48.3779377733, 2.96426271153
